index,Median household income_value,Social associations_value,Access to exercise opportunities_value,Limited access to healthy foods_value,Long commute – driving alone_value,Rural_value,not proficient in English_value
"Conecuh,AL",29758.0,9.469696969700001,0.3660417297,0.1322977626,0.389,0.8094950106000001,0.0
"Coosa,AL",36441.0,10.257366654,0.1066816882,0.1012480749,0.401,1.0,0.0117567698
"Covington,AL",35010.0,13.21527686,0.6202568516,0.0437032675,0.27,0.6965179399,0.0059381419999999996
"Crenshaw,AL",37374.0,10.742677075,0.2243635841,0.17039060379999998,0.434,1.0,0.010942760900000001
"Cullman,AL",41543.0,12.072434608,0.5527945676,0.0310960625,0.358,0.7323955924,0.0097626089
"Dale,AL",40523.0,11.70180571,0.6030327755,0.1055938033,0.259,0.5088853953,0.0085239534
"Dallas,AL",30488.0,13.615034889,0.5540848927,0.1155627093,0.26899999999999996,0.4563897764,0.0010571642
"DeKalb,AL",37128.0,9.2787853226,0.4841299976,0.0216696461,0.305,0.901306445,0.038304453599999996
"Elmore,AL",54553.0,10.433544459,0.5359444157,0.0694302171,0.46299999999999997,0.5418836614,0.0083343177
"Escambia,AL",35096.0,14.554499987,0.5070852579999999,0.07219940030000001,0.294,0.6351157389000001,0.0017407418
"Etowah,AL",40972.0,15.622422542999999,0.4363592837,0.09400616630000001,0.284,0.3748348176,0.0151106922
"Fayette,AL",38403.0,11.337191957,0.455774027,0.013544587,0.36200000000000004,0.8023316513,0.0
"Franklin,AL",37049.0,10.095911156,0.4733156699,0.0412061939,0.341,0.7036651527,0.0560192725
"Geneva,AL",36976.0,8.5894611047,0.2767450541,0.009307848,0.449,0.8964165733,0.0095347365
"Greene,AL",26559.0,11.793843614000002,0.058927584299999995,0.21342475719999998,0.507,1.0,0.0
"Hale,AL",35381.0,5.9729227501999995,0.2989847716,0.0464750699,0.449,0.8916878173,0.0049271485999999995
"Henry,AL",41426.0,16.259218395999998,0.4943937117,0.0214216797,0.358,0.8775286094,0.007065184
"Houston,AL",42910.0,12.767223753,0.6499748885000001,0.06282605940000001,0.27699999999999997,0.33804051329999996,0.0075231957
"Jackson,AL",41407.0,8.9662145405,0.46784526649999997,0.0327251054,0.379,0.7701730325,0.0052428310999999995
"Jefferson,AL",50109.0,14.416226129000002,0.8194895408,0.1227159061,0.324,0.0983376515,0.0129687979
"Lamar,AL",38358.0,8.6417974939,0.18003295800000002,0.007506765899999999,0.371,1.0,0.0030736937
"Lauderdale,AL",44124.0,15.011447579,0.5611752904,0.0503807409,0.301,0.4929510619,0.0057243004
"Lawrence,AL",43107.0,13.287030047,0.2815748857,0.0212248817,0.473,0.9128978712000001,0.0012655424
"Lee,AL",47749.0,8.4080181919,0.5933388949,0.1224950372,0.28300000000000003,0.2740949896,0.0130273595
"Limestone,AL",52181.0,9.0549076509,0.5277596579,0.0351835386,0.384,0.5760914208,0.0121372094
"Lowndes,AL",32011.0,6.693440428400001,0.0486768741,0.1306214495,0.5870000000000001,1.0,0.0005055101000000001
"Macon,AL",30681.0,9.4216173776,0.4740816707,0.2163866443,0.365,0.5554726832,0.0006405808
"Madison,AL",61193.0,10.762159116,0.714555376,0.0746734512,0.245,0.1644151477,0.0122499165
"Marengo,AL",34794.0,17.974835231,0.46311884719999996,0.12628970650000002,0.335,0.6931564179,0.0005830904
"Marion,AL",36386.0,11.601697162999999,0.4287431765,0.0325454263,0.289,0.8885495191,0.0024384297
"Marshall,AL",42117.0,9.5011876485,0.6248830884000001,0.0518750541,0.293,0.5326868704,0.044536844000000006
"Mobile,AL",45233.0,11.097870701,0.725493472,0.102659253,0.353,0.2002024252,0.0074128621
"Monroe,AL",36639.0,15.226318460999998,0.5571787758,0.1283952666,0.321,0.7904456390000001,0.0008669685
"Montgomery,AL",45111.0,15.274656872000001,0.7486517006,0.14572141060000002,0.192,0.10491230060000001,0.0146232993
"Morgan,AL",46843.0,12.545477355,0.6063101515,0.0408420181,0.37200000000000005,0.3859737217,0.021649062900000002
"Perry,AL",25221.0,11.396601741,0.532433198,0.0488511751,0.441,1.0,0.0033326166
"Pickens,AL",35968.0,12.94095092,0.0588473615,0.0089215884,0.455,1.0,0.009338398199999999
"Pike,AL",35172.0,10.288688495,0.6199276574,0.0630434457,0.218,0.5167938235,0.0148992391
"Randolph,AL",40283.0,10.133944307,0.32466285510000004,0.0681548308,0.43700000000000006,0.8134246934,0.0007958800999999999
"Russell,AL",38617.0,9.5541401274,0.6646457779,0.0554670323,0.365,0.35408993899999996,0.007089318000000001
"St. Clair,AL",57856.0,9.1875875692,0.4974339957,0.0156785841,0.521,0.7279676528,0.0046307101
"Shelby,AL",74212.0,11.115742671,0.8808416844,0.043024797999999996,0.45799999999999996,0.2294487018,0.016643321200000002
"Sumter,AL",26814.0,14.50049607,0.18309961489999999,0.1037288563,0.379,1.0,0.008806728
"Talladega,AL",40555.0,11.872078356,0.6835012334,0.0585466459,0.335,0.5581533825,0.005012335
"Tallapoosa,AL",40169.0,14.690040153,0.6845684352,0.043249544,0.332,0.7422625912999999,0.0037417424
"Tuscaloosa,AL",47483.0,11.619014002,0.6847618363,0.06494042559999999,0.24,0.2550807578,0.008634861899999999
"Walker,AL",39511.0,14.243268907000001,0.5299673246,0.0521006974,0.395,0.7408799964,0.0067692607
"Washington,AL",37575.0,16.662699357,0.13554405320000001,0.035835658900000004,0.478,1.0,0.0058479531999999996
"Wilcox,AL",24216.0,9.9466497875,0.057412168,0.3046474603,0.35200000000000004,1.0,0.0014018692
"Winston,AL",38644.0,12.145579428,0.7381555301,0.026550128500000002,0.39799999999999996,0.8489217448,0.006420969300000001
"Aleutians East Borough,AK",63991.0,8.979347500700001,0.6892709328,0.3493750965,0.003,1.0,0.11728009980000001
"Aleutians West Census Area,AK",78151.0,8.768853034,0.8955223881000001,0.08574047789999999,0.004,1.0,0.0657132513
"Anchorage Borough,AK",83959.0,11.382848725,0.9037817054999999,0.0511383882,0.14,0.0411717942,0.0228643579
"Bethel Census Area,AK",46634.0,3.9005906609,0.9566801856999999,0.41987598719999997,0.008,0.7393757715000001,0.0284964379
"Bristol Bay Borough,AK",68026.0,11.210762332,0.5947843531,0.1766323306,0.023,1.0,0.0
"Denali Borough,AK",72378.0,20.844189682,0.6834611172,0.2293371496,0.218,1.0,0.0
"Dillingham Census Area,AK",52250.0,6.0036021613,0.786259542,0.3219756974,0.027999999999999997,1.0,0.012444444399999999
"Fairbanks North Star Borough,AK",73427.0,10.137407032,0.8715118722,0.0727681988,0.147,0.3087076378,0.0093159292
"Haines Borough,AK",53471.0,15.785319653,0.9996012759,0.07440981690000001,0.045,1.0,0.0058455115
"Juneau Borough,AK",82011.0,16.485529369,1.0,0.0590628333,0.061,0.21544364510000003,0.0121668029
"Kenai Peninsula Borough,AK",68501.0,14.640279715,0.8076895306999999,0.0583536074,0.156,0.7933754513,0.005
"Ketchikan Gateway Borough,AK",67125.0,16.777299584,1.0,0.0161387287,0.069,0.2318765304,0.0123610355
"Kodiak Island Borough,AK",74683.0,13.679890560999999,0.9861683343000001,0.046062556500000004,0.019,0.3131989406,0.050735985
"Lake and Peninsula Borough,AK",44310.0,12.79590531,0.4708767627,0.4351634435,0.0,1.0,0.0077041602
"Matanuska-Susitna Borough,AK",71793.0,8.012265690700001,0.6252036631,0.0762394092,0.41600000000000004,0.5029383673,0.0063268317000000004
"Nome Census Area,AK",55974.0,9.140767824500001,0.5462494732000001,0.3809334495,0.004,0.6605562578999999,0.0130267331
"North Slope Borough,AK",74998.0,8.2584907608,0.6471898197,0.1319718346,0.018000000000000002,0.5933191941,0.0090858104
"Northwest Arctic Borough,AK",53692.0,7.739938080499999,0.2181310647,0.3405510868,0.0,0.5746377775,0.0089998548
"Sitka Borough,AK",72795.0,18.052578134,1.0,0.041329062400000005,0.024,0.2087602747,0.021594684399999998
"Southeast Fairbanks Census Area,AK",59412.0,11.697616610999999,0.3324797268,0.1882424123,0.10099999999999999,1.0,0.0284873819
"Valdez-Cordova Census Area,AK",69755.0,19.22666097,0.7617268576,0.15315398560000001,0.055999999999999994,1.0,0.02097278
"Yakutat Borough,AK",57687.0,16.313213703,1.0,0.2535433057,0.0,1.0,0.011627907
"Yukon-Koyukuk Census Area,AK",37906.0,7.229351165700001,0.3353614889,0.4974586879,0.09300000000000001,1.0,0.0017455392000000002
"Apache,AZ",34040.0,3.3578643982,0.2346542129,0.4739151395,0.386,0.7406107553,0.0498352246
"Cochise,AZ",45151.0,9.1752552857,0.5786548505,0.144701918,0.205,0.3630106741,0.0491894634
"Coconino,AZ",53643.0,9.274103683,0.8322434739,0.1383168032,0.145,0.3146606557,0.022341768300000002
"Gila,AZ",40747.0,9.4057450291,0.9491389443000001,0.1582668414,0.175,0.41061999740000005,0.0177691801
"Graham,AZ",46714.0,5.0443370679,0.5791241268,0.1900577286,0.19,0.4643739925,0.0293659044
"Greenlee,AZ",61110.0,7.345996431900001,0.5339575679,0.3054644934,0.183,0.4656868555,0.024204864399999998
"La Paz,AZ",34285.0,5.4585152838,0.2782956708,0.1895471346,0.10800000000000001,0.5632778564,0.055627358700000004
"Maricopa,AZ",58742.0,5.1560156594999995,0.9221430729000001,0.0439947262,0.368,0.0236379969,0.0540772359
"Mohave,AZ",42003.0,6.251923199,0.6545862348,0.2001212971,0.166,0.22963643809999998,0.021048295699999997
"Navajo,AZ",37440.0,7.1113902306,0.574291059,0.25005407879999997,0.243,0.5413824233,0.0425177199
"Pima,AZ",47644.0,6.267171604700001,0.8745000065999999,0.0768111718,0.337,0.07523491139999999,0.04199922230000001
"Pinal,AZ",52642.0,3.566298723,0.7619022273999999,0.0720324992,0.524,0.21904622510000002,0.0358029629
"Santa Cruz,AZ",39090.0,5.5960913454,0.6367355546,0.1280790272,0.256,0.2688317166,0.1258767158
"Yavapai,AZ",49824.0,9.0886594227,0.8787251282999999,0.1260656643,0.263,0.3319717769,0.019504148
"Yuma,AZ",42998.0,4.3079182475,0.7890227892,0.095970112,0.187,0.1042957635,0.1476645542
"Arkansas,AR",39726.0,17.902674551,0.4707923655,0.1782182264,0.14800000000000002,0.34707397869999995,0.0031757029999999998
"Ashley,AR",41277.0,15.356560130999998,0.4657026495,0.1200484694,0.17800000000000002,0.516816913,0.0095982936
"Baxter,AR",40147.0,10.230677417,0.7380338689,0.0441913402,0.151,0.6584202539,0.0034212475
"Benton,AR",64072.0,8.9317184146,0.7630196215,0.0530328766,0.207,0.2516004861,0.031417574
"Boone,AR",39881.0,12.626941056,0.6306804325,0.1035640575,0.214,0.6219819527,0.00011424
"Bradley,AR",34114.0,16.224986479000002,0.7069864442,0.0517348068,0.26899999999999996,0.4959158846,0.031105547
"Calhoun,AR",33507.0,15.299292408,0.0801043219,0.32550601100000004,0.428,1.0,0.0
"Carroll,AR",37145.0,14.077389547000001,0.5013845369,0.0381329925,0.228,0.7283392844,0.0448605273
"Chicot,AR",29527.0,11.789244580999998,0.3030508475,0.3339104809,0.239,0.5427966102,0.009259259300000001
"Clark,AR",37247.0,16.789643441,0.6704500978,0.214556673,0.28300000000000003,0.5437703849000001,0.0072113148
"Clay,AR",36037.0,15.884572109,0.3227631661,0.0430630696,0.35,0.5885717839,0.0016581456
"Cleburne,AR",42397.0,15.313935680999998,0.7127454755,0.0326088031,0.348,0.7552175587000001,0.0017691105
"Cleveland,AR",45256.0,10.829021778,0.012429508600000002,0.0551629979,0.528,1.0,0.0066274853
"Columbia,AR",35322.0,17.417267977,0.5990957967,0.072379853,0.18899999999999997,0.5748615184,0.0090728914
"Conway,AR",41892.0,16.175840905999998,0.38363183380000004,0.0630056242,0.33899999999999997,0.7051661731000001,0.0073261924
"Craighead,AR",44091.0,8.4328343906,0.7014091225,0.08565899240000001,0.14,0.3216822372,0.0088195954
"Crawford,AR",42941.0,9.0757337569,0.6797313876000001,0.0783689225,0.3,0.519613224,0.0127960374
"Crittenden,AR",37627.0,8.7821416171,0.7155710973999999,0.049532027199999995,0.312,0.20887195,0.0045757072
"Cross,AR",40970.0,17.935663040999998,0.4967543369,0.0641611262,0.23800000000000002,0.567879127,0.0020315193
"Dallas,AR",33679.0,22.356654392,0.28437654019999997,0.1830776657,0.419,0.5263676688000001,0.0087849709
"Desha,AR",32392.0,17.551190974,0.6357626076,0.2000667873,0.24600000000000002,0.3141912669,0.0168524533
"Drew,AR",40441.0,11.715837682,0.39126911229999994,0.1078822172,0.22899999999999998,0.48608784920000003,0.0017098889000000002
"Faulkner,AR",50909.0,9.1318941688,0.6309333522,0.055647170700000005,0.358,0.38760299200000004,0.0045643043
"Franklin,AR",40091.0,11.86306632,0.5821793103,0.0363946477,0.444,0.8260413793000001,0.0056618392
"Fulton,AR",33451.0,9.8328416912,0.452837893,0.121361199,0.31,0.92919559,0.0044839183000000005
"Garland,AR",42087.0,11.525360939,0.8722819295,0.10714833130000001,0.21,0.3690327418,0.010086911
"Grant,AR",54411.0,12.705778367,0.1298941354,0.044258730999999996,0.518,0.7502940681999999,0.001059135
"Greene,AR",45208.0,10.634446556,0.4386315039,0.0946487095,0.276,0.4150629603,0.0005858517
"Hempstead,AR",38769.0,12.226046005999999,0.6308107391,0.1449397638,0.213,0.5576982618,0.04508531599999999
"Hot Spring,AR",46313.0,11.36839586,0.33721106829999997,0.0671045116,0.419,0.6596907936999999,0.004162068400000001
"Howard,AR",36166.0,17.293233083,0.5011240844,0.20691118690000002,0.255,0.6751758648,0.0367031038
"Independence,AR",42520.0,12.954766274,0.594318771,0.07313660570000001,0.2,0.6858405872,0.013139317099999999
"Izard,AR",36987.0,18.594272964,0.48773364490000004,0.0054605396,0.278,1.0,0.0002331183
"Jackson,AR",35098.0,12.112123659000002,0.4247374562,0.10403987960000001,0.24,0.6506084347,0.0019991519
"Jefferson,AR",38485.0,14.532243415,0.5507716149,0.0710193485,0.196,0.3091625234,0.0033991083
"Johnson,AR",37205.0,8.7984392334,0.5400156617,0.029038477000000004,0.195,0.7136648395,0.0274299835
"Lafayette,AR",32288.0,10.005717553,0.1373446697,0.0940762472,0.36700000000000005,1.0,0.0007370283
"Lawrence,AR",39015.0,11.323678408,0.2524834912,0.15560161890000002,0.39,0.635601493,0.0023772287
"Lee,AR",26912.0,14.507772021,0.34516500380000004,0.2732623752,0.315,0.6350729087,0.0002159361
"Lincoln,AR",35419.0,9.4066570188,0.38566577049999995,0.1678348094,0.348,1.0,0.008473305300000001
"Little River,AR",43567.0,13.630532393,0.685141599,0.049105335300000004,0.381,0.6852175233,0.0005021761
"Logan,AR",39361.0,12.434374137,0.6958350109999999,0.049134865,0.371,0.7101954995,0.0167608559
"Lonoke,AR",56247.0,8.6537790495,0.5574784949,0.0663715362,0.47200000000000003,0.4481245245,0.0058736709
"Madison,AR",39059.0,7.610832752,0.4760450468,0.1204801734,0.525,1.0,0.0165495812
"Marion,AR",33950.0,9.267840593099999,0.5167237134,0.0671520973,0.327,1.0,0.001085499
"Miller,AR",38412.0,11.387446479000001,0.640283466,0.1371180457,0.201,0.4001196447,0.0018424802
"Mississippi,AR",35846.0,13.489414239,0.4751936317,0.0724840241,0.214,0.362672117,0.0076384313
"Monroe,AR",32906.0,12.16380592,0.6522272671,0.0634059442,0.322,0.6897778869,0.0029715579
"Montgomery,AR",36435.0,5.5741360089,0.9807104459,0.1119482588,0.435,1.0,0.0069212135
"Nevada,AR",37612.0,12.853470437,0.4020228965,0.1433457232,0.395,0.6917861509000001,0.0
"Newton,AR",33107.0,3.7912296221,0.5914765906,0.21320554530000002,0.467,1.0,0.0
"Ouachita,AR",36016.0,20.116594137,0.4257656968,0.1361073697,0.267,0.5635145482,0.0067015435
"Perry,AR",43819.0,9.8145058396,0.27132599329999996,0.0627363065,0.5820000000000001,1.0,0.0
"Phillips,AR",29073.0,12.299492646,0.641218918,0.310328857,0.249,0.4796617181,0.0032479834999999996
"Pike,AR",34821.0,10.162601626,0.5091665929,0.1098576775,0.44,1.0,0.0204081633
"Poinsett,AR",36125.0,12.063227953,0.33836391,0.1907090327,0.32799999999999996,0.7113859171,0.002079554
"Polk,AR",32941.0,15.829046300000002,0.667844352,0.2046797112,0.209,0.7338592584999999,0.0133214454
"Pope,AR",42916.0,13.724562234,0.7541535771,0.0615803697,0.157,0.5449363604,0.0247128673
"Prairie,AR",40340.0,15.679652635,0.5831325301,0.1965973495,0.381,1.0,0.0
"Pulaski,AR",47966.0,15.94238331,0.8690835746,0.1042735677,0.195,0.1227674606,0.0158146549
"Randolph,AR",38647.0,10.303967027,0.43140965,0.1459191011,0.373,0.6742167066,0.000300553
"St. Francis,AR",39675.0,10.1545752,0.7007573077,0.1511994691,0.245,0.5155354236,0.0131812621
"Saline,AR",63618.0,8.4284011578,0.6498627682,0.0612488525,0.43200000000000005,0.36160122479999995,0.0100970123
"Scott,AR",34245.0,12.365642538,0.8848927268000001,0.07833039160000001,0.306,0.7035520342,0.0163754368
"Searcy,AR",29747.0,7.6248570339,0.2333129957,0.1652957771,0.33299999999999996,1.0,0.0023778071
"Sebastian,AR",42559.0,11.034590703,0.6925658481,0.0371990517,0.172,0.2081212622,0.0342062303
"Sevier,AR",38697.0,10.41064199,0.5786727635,0.1116325892,0.308,0.6360065658,0.0893964317
"Sharp,AR",32379.0,17.147587512,0.5613415199,0.10183020029999999,0.35,0.8005676552,0.0045036708
"Stone,AR",31955.0,13.648041105,0.5868162014,0.1356973216,0.301,1.0,0.0024328859
"Union,AR",41546.0,25.159426065999998,0.5412233723,0.134867982,0.21600000000000003,0.5450419078000001,0.0075673092
"Van Buren,AR",38166.0,17.888020989,0.5849667534,0.0609824112,0.36200000000000004,1.0,0.0019287003
"Washington,AR",46367.0,8.8257338886,0.8582128875,0.0606052466,0.264,0.2549479231,0.0423504033
"White,AR",44329.0,11.242910019000002,0.5331101770000001,0.0521082707,0.314,0.5431781618,0.0090135339
"Woodruff,AR",30400.0,22.251891411,0.5183195592000001,0.0263318427,0.239,1.0,0.0
"Yell,AR",38658.0,11.974393221,0.5960784314,0.054867047,0.243,0.7912553526999999,0.0598935226
"Alameda,CA",89472.0,6.3727898963,0.9829288916,0.010025395,0.444,0.0038860575,0.0901293076
"Alpine,CA",57481.0,9.009009009,1.0,0.1247481688,0.442,1.0,0.0097087379
"Amador,CA",59789.0,9.1889408394,0.8760862145999999,0.0357135857,0.392,0.6042372214,0.0160242894
"Butte,CA",45097.0,7.6305060534,0.7330181818000001,0.07437892,0.228,0.1890181818,0.0247239638
"Calaveras,CA",57990.0,8.2537699652,0.7577778753,0.0274771566,0.562,0.7540918864,0.0064478585
"Colusa,CA",54861.0,7.4480960804,0.7036743079000001,0.0295144193,0.32,0.3172417013,0.1462071057
"Contra Costa,CA",90920.0,5.4138247785,0.8853335240000001,0.029685104700000003,0.48700000000000004,0.0079273611,0.0662114077
"Del Norte,CA",39458.0,6.237616496699999,0.7769660958,0.1400130966,0.094,0.3367354072,0.0206562296
"El Dorado,CA",75100.0,5.855181835900001,0.8450993604000001,0.060570052199999995,0.395,0.34699930409999996,0.0195214214
"Fresno,CA",48323.0,5.1289363304,0.7943038315000001,0.0416199605,0.218,0.1080520178,0.12385343929999999
"Glenn,CA",46141.0,9.2800799515,0.4862385321,0.0356795832,0.316,0.40871915229999994,0.10648719529999999
"Humboldt,CA",43164.0,9.5780500564,0.6966788736,0.0619248083,0.165,0.2975865937,0.017446818500000003
"Imperial,CA",43327.0,4.8282100660000005,0.6652915292,0.0920476707,0.207,0.1741783553,0.2080752732
"Inyo,CA",53350.0,10.405257393,0.4895934433,0.1219186194,0.129,0.4643049714,0.0261312938
"Kern,CA",49812.0,4.5569138131,0.7806226783,0.0537565349,0.243,0.1020603098,0.10564859050000001
"Kings,CA",51320.0,3.9744311595,0.4460067197,0.0486467866,0.23600000000000002,0.1085160346,0.09778969970000001
"Lake,CA",40818.0,5.883172578200001,0.7497719012999999,0.08841796019999999,0.38799999999999996,0.3310600789,0.0388272452
"Lassen,CA",49793.0,5.1044823736,0.541510245,0.0729817151,0.18100000000000002,0.705258633,0.0207513769
"Los Angeles,CA",61308.0,5.5681783768,0.94021004,0.016477954,0.47100000000000003,0.0060521836,0.1439513056
"Madera,CA",49467.0,4.9032890747,0.7417956451000001,0.0938037407,0.355,0.32924800320000003,0.139867888
"Marin,CA",103488.0,8.3454239896,0.9364206506,0.017059318700000003,0.426,0.0651997354,0.0429313301
"Mariposa,CA",51233.0,10.267526097000001,0.592351104,0.0612665941,0.419,1.0,0.011410665700000001
"Mendocino,CA",45247.0,8.3286745998,0.649036327,0.067593618,0.21,0.4523058708,0.053304152199999996
"Merced,CA",47442.0,4.0602708088999995,0.48123287189999997,0.0733236673,0.28300000000000003,0.1427326002,0.13650754539999999
"Modoc,CA",42890.0,4.4617958728,0.3537063803,0.11697977279999999,0.157,0.6995663845000001,0.029591954700000003
"Mono,CA",56574.0,9.346466316799999,0.9248697367000001,0.1506029567,0.20800000000000002,0.45831573020000005,0.0754056871
"Monterey,CA",62999.0,5.1855505211,0.9024085848000001,0.0347368112,0.27699999999999997,0.0981600118,0.19034920730000002
"Napa,CA",73112.0,8.1428651654,0.8224333988,0.023192401,0.305,0.1340083819,0.0882174001
"Nevada,CA",60501.0,9.4056251707,0.6238507958,0.0677280495,0.28,0.42134785950000003,0.0138247383
"Orange,CA",81642.0,5.912089687100001,0.970935795,0.0089113921,0.397,0.0014334443,0.1084984862
"Placer,CA",85326.0,7.5920839871000005,0.7828500253,0.030248215699999997,0.385,0.1378719521,0.0204975573
"Plumas,CA",53646.0,20.098864686,0.9795071725,0.023366251499999997,0.309,0.7402409157,0.0095088936
"Riverside,CA",59951.0,4.1761505379,0.8802009096,0.0684819327,0.45299999999999996,0.046223102300000006,0.0825986807
"Sacramento,CA",59728.0,7.1669547436,0.9101916565000001,0.044226308,0.35600000000000004,0.020621121699999998,0.0691182672
"San Benito,CA",73298.0,4.4223703905,0.8523222783,0.0312992864,0.47600000000000003,0.2400441477,0.0970220941
"San Bernardino,CA",56194.0,4.3700276252,0.8427312169,0.0800431244,0.41,0.047344991399999994,0.0841363761
"San Diego,CA",70693.0,5.7796268004,0.9318291881999999,0.030744401600000002,0.342,0.0329704944,0.0751150231
"San Francisco,CA",101873.0,9.0423858948,0.9995628605,0.0032195267999999997,0.49700000000000005,0.0,0.12372854
"San Joaquin,CA",59038.0,4.8477770463,0.7303102556000001,0.04769405559999999,0.35,0.08472857380000001,0.09519574970000001
"San Luis Obispo,CA",69517.0,8.670900245599999,0.8967389490000001,0.044539683499999996,0.25,0.1659638699,0.038808762999999996
"San Mateo,CA",107075.0,5.7244799937,0.9624734323999999,0.010998050700000001,0.381,0.0189101275,0.0804180271
"Santa Barbara,CA",66360.0,7.7793191522,0.9676169806,0.0312945486,0.17600000000000002,0.0501751613,0.1118122461
"Santa Clara,CA",110843.0,5.516036128500001,0.926625551,0.009925867,0.38299999999999995,0.0108366327,0.09721249259999999
"Santa Cruz,CA",75929.0,7.1129981834,0.9366115054,0.0380176526,0.377,0.12039316720000001,0.0811107508
"Shasta,CA",46663.0,8.2436098099,0.7753790422,0.0877748954,0.14800000000000002,0.2928626646,0.0116317654
"Sierra,CA",48099.0,6.7408156387,0.7018518519,0.27847524079999997,0.439,0.9972222222,0.0123762376
"Siskiyou,CA",40875.0,11.93920191,0.7399109131,0.1026473704,0.21899999999999997,0.6582628062,0.0182455292
"Solano,CA",73200.0,5.5263568238,0.9274938065999999,0.0338246496,0.401,0.0371845243,0.0503058688
"Sonoma,CA",73496.0,6.8306827098000005,0.8895920046,0.0401413304,0.306,0.12353527130000001,0.0579695078
"Stanislaus,CA",54060.0,5.7207812953,0.8830719229999999,0.0485608371,0.313,0.0798070961,0.0972117666
"Sutter,CA",51283.0,5.805334687899999,0.2615873418,0.1082253992,0.311,0.1479780867,0.10271165060000001
"Tehama,CA",40585.0,6.476274720399999,0.5329719679,0.09892913869999999,0.318,0.5148826876,0.040317127599999995
"Trinity,CA",38727.0,4.5910169102,0.8877847091,0.0741084342,0.204,1.0,0.0083339948
"Tulare,CA",45768.0,4.479595009800001,0.5860726086,0.079874673,0.26,0.1547993007,0.14875683369999998
"Tuolumne,CA",50431.0,9.49561526,0.7701255306,0.1021292284,0.265,0.48965953219999997,0.0093648208
"Ventura,CA",79470.0,6.0667626062,0.9702119959000001,0.0329590101,0.34299999999999997,0.0312455212,0.10009407960000001
"Yolo,CA",63645.0,6.5253314305,0.9004077690000001,0.019282495,0.293,0.0692958392,0.0693043716
"Yuba,CA",46054.0,4.4300059067,0.5025985725,0.12019332710000001,0.414,0.26222714989999996,0.0510667808
"Adams,CO",65442.0,4.599694303500001,0.9479215494,0.056262113200000005,0.44799999999999995,0.0362044642,0.0696549653
"Alamosa,CO",37057.0,13.33656644,0.8229847847,0.026244486400000003,0.105,0.36866299770000005,0.027192118199999997
"Arapahoe,CO",70866.0,7.9068794605,0.9829528865999999,0.0240072531,0.396,0.0157534139,0.0419450676
"Archuleta,CO",51998.0,13.762953368,0.9048328368,0.1067298109,0.154,0.5937603443,0.0095554987
"Baca,CO",34070.0,13.831258645,0.8125659979000001,0.0839833116,0.20199999999999999,1.0,0.018746338600000002
"Bent,CO",33951.0,8.576329331,0.844283736,0.12101555189999999,0.171,0.3795968611,0.0291331546
"Boulder,CO",74772.0,9.4873689616,0.9675591631,0.030818909199999998,0.267,0.0891308259,0.0222383848
"Broomfield,CO",86870.0,5.994005994,0.9904274544,0.0519803117,0.439,0.005832990400000001,0.0169165575
"Chaffee,CO",49877.0,20.902561904000002,0.9675444999999999,0.0252315281,0.19899999999999998,0.3741366725,0.010074857900000001
"Cheyenne,CO",50558.0,16.402405685999998,0.5517429194,0.0987929279,0.105,1.0,0.0131509732
"Clear Creek,CO",68699.0,6.4495324089,0.8764304576999999,0.023458862900000002,0.496,1.0,0.0031609844
